"Time"	"1 Memory"
-0.200000	0
-0.180000	0
-0.160000	0
-0.140000	0
-0.120000	0
-0.100000	0
-0.080000	1
-0.060000	0
-0.040000	0
-0.020000	0
0.000000	0
0.020000	12
0.040000	15
0.060000	16
0.080000	15
0.100000	20
0.120000	20
0.140000	22
0.160000	21
0.180000	13
0.200000	14
0.220000	13
0.240000	12
0.260000	12
0.280000	11
0.300000	12
0.320000	11
0.340000	11
0.360000	11
0.380000	10
0.400000	11
0.420000	11
0.440000	10
0.460000	10
0.480000	11
0.500000	9
0.520000	11
0.540000	9
0.560000	9
0.580000	10
0.600000	11
0.620000	9
0.640000	9
0.660000	9
0.680000	9
0.700000	9
0.720000	9
0.740000	9
0.760000	9
0.780000	10
0.800000	9
0.820000	8
0.840000	9
0.860000	9
0.880000	9
0.900000	9
0.920000	9
0.940000	9
0.960000	9
0.980000	6
1.000000	9
1.020000	9
1.040000	9
1.060000	9
1.080000	6
1.100000	9
1.120000	9
1.140000	7
1.160000	8
1.180000	0
1.200000	0
1.220000	0
1.240000	0
1.260000	0
1.280000	0
1.300000	0
