"Time"	"1 Memory"
-0.200000	0
-0.180000	0
-0.160000	0
-0.140000	0
-0.120000	0
-0.100000	0
-0.080000	0
-0.060000	0
-0.040000	0
-0.020000	0
0.000000	0
0.020000	9
0.040000	7
0.060000	9
0.080000	11
0.100000	13
0.120000	14
0.140000	16
0.160000	16
0.180000	12
0.200000	11
0.220000	12
0.240000	10
0.260000	11
0.280000	9
0.300000	11
0.320000	9
0.340000	10
0.360000	9
0.380000	9
0.400000	9
0.420000	10
0.440000	9
0.460000	7
0.480000	9
0.500000	9
0.520000	8
0.540000	9
0.560000	8
0.580000	9
0.600000	8
0.620000	8
0.640000	8
0.660000	8
0.680000	9
0.700000	7
0.720000	8
0.740000	8
0.760000	8
0.780000	8
0.800000	8
0.820000	7
0.840000	8
0.860000	7
0.880000	8
0.900000	8
0.920000	7
0.940000	8
0.960000	7
0.980000	8
1.000000	6
1.020000	8
1.040000	7
1.060000	8
1.080000	7
1.100000	8
1.120000	6
1.140000	8
1.160000	5
1.180000	0
1.200000	0
1.220000	0
1.240000	0
1.260000	0
1.280000	0
1.300000	0
